Station,Long_DD,Lat_DD,Location,Survey,note,Region,Program,Bot_depth,Bot_depth_,NONNA_10m_,NOAA_3arcs
BS15,-124.857296,49.55585386,Baynes Sound,Deep Bay Oceanography Survey (Sarah Leduc),Mid Channel,,Ocean Acidification,,43,-44.5,-43.4
BS16,-124.8049054,49.51578679,Baynes Sound,Deep Bay Oceanography Survey (Sarah Leduc),Mid channel off mac's oysters,,Ocean Acidification,,56,-52.6,-56.3
BS17,-124.7542871,49.47716798,Baynes Sound,Deep Bay Oceanographic Survey (Sarah Leduc),"South end, just south of BS7",,Ocean Acidification,,92,-90.4,-83.8
BS3,-124.6666667,49.69166667,Baynes Sound,,"Pacific Salmon Foundation's Citizen Science Program pCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,229,-222.1,-229.1
BS6,-124.6049998,49.48500068,Baynes Sound,,"Pacific Salmon Foundation's Citizen Science Program pCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,71,0.0,-71.2
BS7,-124.766668,49.48333126,Baynes Sound,,"Pacific Salmon Foundation's Citizen Science Program pCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,63,-58.6,-62.8
BU1,-125.08,50.37,Bute Inlet,,"Pacific Salmon Foundation's Citizen Science Program pCO2, TCO2, salinity, PSF CTD",,Oceanography,604,597,-601.5,-605.0
BU2,-125.0767,50.4683,Bute Inlet,,DFO + Achiever 2019,,Oceanography,658,666,-647.3,-650.2
BU3,-124.9667,50.5283,Bute Inlet,,DFO + Achiever 2019,,Oceanography,658,758,-644.2,-648.8
BU4,-124.9033,50.5883,Bute Inlet,,DFO + Achiever 2019,,Oceanography,640,662,-630.9,-638.1
BU5,-124.8888271,50.67769141,Bute Inlet,,DFO + Achiever 2019,,Oceanography,567,563,-561.3,-566.0
BU6,-124.9,50.755,Bute Inlet,,DFO + Achiever 2019,,Oceanography,485,477,-472.0,-473.5
BU7,-124.8917,50.83,Bute Inlet,,DFO + Achiever 2019,,Oceanography,366,351,-345.5,-353.3
BU8,-124.8467,50.8883,Bute Inlet,,DFO + Achiever 2019,,Oceanography,256,241,-262.7,-266.0
BUR1,-127.9467,51.9033,,BURKE CHANNEL,,Central Coast,Oceanography,,339,-345.6,-349.0
BUR10,-126.9517,52.3467,,BURKE CHANNEL,,Central Coast,Oceanography,,202,0.0,-200.0
BUR11,-126.8333,52.38,,BURKE CHANNEL,,Central Coast,Oceanography,,200,0.0,-200.0
BUR12,-126.9667,52.2867,,BURKE CHANNEL,,Central Coast,Oceanography,,201,0.0,-200.0
BUR13,-126.9067,52.1917,,BURKE CHANNEL,,Central Coast,Oceanography,,199,0.0,-200.0
BUR14,-126.785,52.1233,,BURKE CHANNEL,,Central Coast,Oceanography,,200,0.0,-200.0
BUR15,-126.705,52.0533,,BURKE CHANNEL,,Central Coast,Oceanography,,199,0.0,-200.0
BUR16,-126.6883,52.0033,,BURKE CHANNEL,,Central Coast,Oceanography,,1,0.0,0.0
BUR1A,-127.48,52.2,,BURKE CHANNEL,,Central Coast,Oceanography,,596,0.0,-500.0
BUR2,-127.68,51.9783,,BURKE CHANNEL,,Central Coast,Oceanography,,244,-239.0,-240.1
BUR3,-127.6567,52.0617,,BURKE CHANNEL,,Central Coast,Oceanography,,200,0.0,-200.0
BUR4,-127.5867,52.1367,,BURKE CHANNEL,,Central Coast,Oceanography,,199,0.0,-200.0
BUR5,-127.48,52.2,,BURKE CHANNEL,,Central Coast,Oceanography,,596,0.0,-500.0
BUR6,-127.3767,52.2383,,BURKE CHANNEL,,Central Coast,Oceanography,,599,0.0,-500.0
BUR7,-127.2567,52.275,,BURKE CHANNEL,,Central Coast,Oceanography,,599,0.0,-500.0
BUR8,-127.18,52.33,,BURKE CHANNEL,,Central Coast,Oceanography,,570,0.0,-500.0
BUR9,-127.0467,52.3217,,BURKE CHANNEL,,Central Coast,Oceanography,,542,0.0,-500.0
CP1,-125.97865,49.21498333,Calamus Pass,CEDAR COAST,,Clayoquot,Oceanography,0,9,-19.8,-9.0
CP2,-126.0442,49.21165,West of Vargas,CEDAR COAST,,Clayoquot,Oceanography,0,8,-16.2,-8.2
D01,-124.747,49.9613,,SEMSP,,Discovery Islands,SEMSP,,100,-72.3,-80.3
D02,-124.8509,50.07902,,SEMSP,,Discovery Islands,SEMSP,,163,-66.5,
D03,-125.075117,50.11841667,,SEMSP,,Discovery Islands,SEMSP,,49,0.0,-48.9
D04,-125.147117,49.996445,,SEMSP,,Discovery Islands,SEMSP,,10,-13.6,-10.0
D05,-124.8888,50.1659,,SEMSP,,Discovery Islands,SEMSP,,99,-31.5,-123.0
D06,-125.272652,50.100153,,SEMSP,,Discovery Islands,SEMSP,,49,-31.0,-37.0
D07,-125.143142,50.190769,,SEMSP,,Discovery Islands,SEMSP,,27,-29.4,0.0
D08,-125.040963,50.319983,,SEMSP,,Discovery Islands,SEMSP,,110,-92.2,-81.0
D09,-125.329834,50.307276,Okisollo Channel,SEMSP,,Discovery Islands,SEMSP,,49,-57.9,-36.4
D10,-125.279,50.44365,Hall Point,SEMSP,,Discovery Islands,SEMSP,,17,0.0,-86.8
D11,-125.455652,50.348145,,SEMSP,,Discovery Islands,SEMSP,,11,0.0,-49.8
D12,-125.210626,50.116886,,SEMSP,,Discovery Islands,SEMSP,,51,-65.4,-50.9
D20,-125.364704,50.462122,,SEMSP,,Discovery Islands,SEMSP,,49,0.0,-54.9
D21,-125.372675,50.390937,,SEMSP,,Discovery Islands,SEMSP,,48,-59.7,-62.4
D22,-125.397371,50.244069,McMullen Point,SEMSP,,Discovery Islands,SEMSP,,43,0.0,-108.1
D24,-125.117914,50.238061,,SEMSP,,Discovery Islands,SEMSP,,50,-57.6,-50.4
D25,-124.916635,50.022465,,SEMSP,,Discovery Islands,SEMSP,,82,-90.3,-118.8
D26,-125.164744,49.917057,,SEMSP,,Discovery Islands,SEMSP,,10,0.0,-9.8
D27,-125.377946,50.274476,Granite Point,SEMSP,,Discovery Islands,SEMSP,,24,0.0,
D28,-125.613237,50.38992,,SEMSP,,Discovery Islands,SEMSP,,49,0.0,-13.5
D30,-125.31317,50.291476,Chonat Bay,,,Discovery Islands,SEMSP,,43,-36.5,-35.6
DAWSONS,-127.5923,51.574,Bickle Channel,Rivers Inlet V2,,Central Coast,Oceanography,30,57,0.0,
DE1,-127.83167,52.195,,DEAN,,Central Coast,Oceanography,,259,0.0,-445.0
DE10,-126.9933,52.8333,,DEAN,,Central Coast,Oceanography,,1,0.0,0.0
DE11,-127.0533,52.8683,,DEAN,,Central Coast,Oceanography,,1,0.0,0.0
DE2,-127.745883,52.26006,,DEAN,,Central Coast,Oceanography,,201,0.0,-200.0
DE3,-127.60833,52.28333,,DEAN,,Central Coast,Oceanography,,199,0.0,-200.1
DE4,-127.4678,52.34206,,DEAN,,Central Coast,Oceanography,,240,0.0,-490.0
DE5,-127.3984,52.4093,,DEAN,,Central Coast,Oceanography,,529,0.0,-501.5
DE6,-127.25833,52.45417,,DEAN,,Central Coast,Oceanography,,507,0.0,-501.3
DE7,-127.20525,52.5532,,DEAN,,Central Coast,Oceanography,,199,0.0,-200.0
DE8,-127.0719,52.6268,,DEAN,,Central Coast,Oceanography,,200,0.0,-200.0
DE9,-126.955,52.7333,,DEAN,,Central Coast,Oceanography,,199,0.0,-200.0
DFO1,-127.6055,51.4593,Rivers Inlet,Rivers Inlet V2,,Central Coast,Oceanography,299,289,0.0,-257.7
DFO2,-127.5583,51.5208,Rivers Inlet,Rivers Inlet,,Central Coast,Oceanography,333,330,0.0,-330.7
DFO3,-127.5313,51.6008,Rivers Inlet,Rivers Inlet V2,,Central Coast,Oceanography,324,365,0.0,-326.0
DFO4,-127.4493,51.6488,Rivers Inlet,Rivers Inlet V2,,Central Coast,Oceanography,300,312,0.0,-301.1
DFO5,-127.3122,51.6773,Rivers Inlet,Rivers Inlet V2,,Central Coast,Oceanography,198,201,0.0,-200.0
DI10,-125.3274,50.3036,Okisollo,F,,Discovery Islands,Oceanography,85,77,-81.2,-81.6
DI11,-125.4309,50.3453,Johnstone Strait,F,,Discovery Islands,Oceanography,300,348,-314.4,-319.1
DI12,-125.383,50.2397,Discovery Passage,F,,Discovery Islands,Oceanography,220,259,-225.0,-227.3
DI13,-125.2351,50.0445,Discovery Passage,F,,Discovery Islands,Oceanography,70,51,-78.8,-82.4
DI18,-125.293333,50.1,,QOM F,,Discovery Islands,Oceanography,70,85,-69.2,-73.5
DI19,-125.367,50.1972,,QOM F,,Discovery Islands,Oceanography,200,200,-198.2,-189.0
DI20,-125.38489,50.2614904,,QOM F,aka DFO23,Discovery Islands,Oceanography,247,252,-243.6,-245.9
DI21,-125.3306,50.2946855,,QOM F,aka OkChan,Discovery Islands,Oceanography,109,111,-105.8,-106.0
DI24,-125.4008025,50.28188443,,QOM F,,Discovery Islands,Oceanography,,216,-212.3,-215.6
DI25,-125.2656,50.3207,Barnes Bay,QOMF,,Discovery Islands,Oceanography,,50,-71.5,-70.2
DI6,-125.1856,50.3974,Dent,F,,Discovery Islands,Oceanography,125,129,0.0,-100.0
DI7,-125.3006,50.4476,Nodales,F,,Discovery Islands,Oceanography,300,300,-311.9,-314.5
DI8,-125.3567,50.3726,Nodales,F,,Discovery Islands,Oceanography,210,234,-207.2,-206.8
FC1,-127.9167,52.0467,,DEAN,,Central Coast,Oceanography,,,0.0,-375.5
FC2,-127.8811,52.11798333,,DEAN,,Central Coast,Oceanography,,,0.0,-487.9
FC3,-127.8633,52.165,,DEAN,,Central Coast,Oceanography,,,0.0,-500.0
FCC1,-125.9286167,49.18348333,Father Charles Channel,CEDAR COAST,,Clayoquot,Oceanography,0,33,-34.7,-32.8
FHE02,-127.754,51.6139,Fish Egg Inlet,South Herring,,Central Coast,Oceanography,180,40,-180.4,-180.6
FHE04,-127.8275,51.6559,Illahie Inlet,South Herring,,Central Coast,Oceanography,33,1,0.0,-6.5
FZH01,-127.8958,51.6394,Fitz Hugh Sound,Kwakshua,,Central Coast,Oceanography,290,299,-293.6,-294.0
FZH02,-127.8714,51.6683,Fitz Hugh Sound,South Herring,,Central Coast,Oceanography,20,23,0.0,-9.9
FZH03,-127.884,51.6921,Fitz Hugh Sound,South Herring,,Central Coast,Oceanography,27,27,0.0,-7.0
FZH04,-127.955,51.821,Fitz Hugh Sound,Koeye,,Central Coast,Oceanography,310,311,-311.2,-313.3
FZH07,-127.9373,51.7034,Fitz Hugh Sound,Koeye,,Central Coast,Oceanography,374,329,-329.6,-332.0
FZH08,-127.9436,51.759,Fitz Hugh Sound,Koeye,,Central Coast,Oceanography,420,384,-378.9,-380.2
FZH09,-127.982,51.896,Fitz Hugh Sound,Burke Channel,,Central Coast,Oceanography,305,280,-301.5,-306.1
FZH10,-127.935,51.902,Fitz Hugh Sound,Burke Channel,,Central Coast,Oceanography,336,340,-341.1,-342.2
FZH11,-127.796333,51.49808,Fitz Hugh Sound,,,Central Coast,Oceanography,190,187,-184.7,-185.0
FZH12,-127.89195,51.5278,Fitz Hugh Sound,,,Central Coast,Oceanography,125,100,-106.7,-100.0
FZH13,-127.8524,51.5724,Fitz Hugh Sound,,,Central Coast,Oceanography,226,247,-231.2,-230.6
GOLDEN,-128.2131,51.9032,Golden Islands,,,Central Coast,Oceanography,,48,0.0,-33.3
GOOSE,-128.4602,51.9197,Goose Island,,,Central Coast,Oceanography,,1,0.0,-5.0
Ha1,-127.555,51.6967,,,IOS Historical Site,Central Coast,Oceanography,310,310,0.0,-310.7
HAK1,-128.2313,51.7112,,,"DFO mooring deployed July 6, 2016",Central Coast,Oceanography Sensors,,142,-141.1,-140.0
HER1,-126.0120167,49.31531667,Mouth of Herbert,CEDAR COAST,,Clayoquot,Oceanography,0,78,-111.2,-80.0
HER2,-125.9782333,49.3281,Herbert,CEDAR COAST,,Clayoquot,Oceanography,0,120,-133.2,-120.2
HER3,-125.9571833,49.3489,Herbert,CEDAR COAST,,Clayoquot,Oceanography,0,71,-140.2,-71.4
HER4,-125.9386333,49.39321667,Herbert,CEDAR COAST,,Clayoquot,Oceanography,0,73,-129.7,-73.0
HER5,-125.9123667,49.40478333,Head of Herbert,CEDAR COAST,,Clayoquot,Oceanography,0,42,-126.6,-41.7
HKP01,-128.079,51.7182,Hakai Pass,Koeye,,Central Coast,Oceanography,,302,-301.9,-301.9
HKP03,-128.1636,51.7015,Hakai Pass,"Queen Charlotte Sound, Ver.1",,Central Coast,Oceanography,120,141,-120.5,-126.4
HKP04,-128.0068,51.7425,Hakai Pass,Koeye,,Central Coast,Oceanography,470,401,-429.4,-433.2
IA,-128.1182,51.6727,Choked Pass,,a.k.a. Inner Ang,Central Coast,Oceanography,,7,-4.2,-5.0
ID,-128.1178,51.6745,Choked Pass,,a.k.a. Inner Derek,Central Coast,Oceanography,,7,-4.3,-2.1
IS,-128.1145,51.6783,Choked Pass,,a.k.a. Inner Sandspit,Central Coast,Oceanography,,9,-0.3,-0.1
IT,-128.1195,51.6753,Choked Pass,,a.k.a. Inner Tristan,Central Coast,Oceanography,,6,-4.6,0.0
J01,-126.721845,50.578487,,SEMSP,,Johnstone Strait,SEMSP,,20,0.0,-5.1
J02,-126.703364,50.599433,,SEMSP,,Johnstone Strait,SEMSP,,33,0.0,-54.3
J03,-126.671869,50.546936,,SEMSP,,Johnstone Strait,SEMSP,,40,0.0,-67.1
J04,-126.38762,50.526352,,SEMSP,,Johnstone Strait,SEMSP,,27,0.0,-6.6
J05,-126.212568,50.498735,,SEMSP,,Johnstone Strait,SEMSP,,45,0.0,-0.1
J06,-126.033922,50.475081,,SEMSP,,Johnstone Strait,SEMSP,,14,0.0,0.0
J07,-126.165533,50.457325,,SEMSP,,Johnstone Strait,SEMSP,,49,0.0,-36.5
J08,-126.409614,50.480604,,SEMSP,,Johnstone Strait,SEMSP,,24,0.0,
J09,-126.814611,50.544011,,SEMSP,,Johnstone Strait,SEMSP,,1,0.0,-0.3
J10,-126.734633,50.558034,,SEMSP,,Johnstone Strait,SEMSP,,28,0.0,-89.7
J11,-126.777119,50.539058,,SEMSP,,Johnstone Strait,SEMSP,,47,0.0,
J12,-126.727619,50.526406,,SEMSP,,Johnstone Strait,SEMSP,,23,0.0,
J13,-126.63191,50.53779,,SEMSP,,Johnstone Strait,SEMSP,,26,0.0,-40.0
JS1,-126.76469,50.6204,Queen Charlotte Sound,Johnstone Strait,,North Johnstone Strait,Oceanography,145,148,-152.1,-156.8
JS10,-126.338,50.48476,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,220,235,-258.0,-313.3
JS11,-126.23723,50.48638,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,360,362,-378.0,-378.3
JS12,-126.59595,50.51103,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,?,425,-417.8,-418.5
JS2,-126.696,50.548,Blackney Pass,Johnstone Strait,Year Round Survey Station,North Johnstone Strait,Oceanography,345,318,-354.9,-327.2
JS3,-126.338,50.501,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,305,298,-312.0,-314.5
JS4,-126.137,50.47,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,315,314,-319.6,-323.4
JS5,-126.69857,50.58452,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,140,146,-141.7,-158.5
JS6,-126.70714,50.52796,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,390,293,-338.7,-406.6
JS7,-126.50446,50.5,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,385,399,-385.6,-388.5
JS8,-126.338,50.50912,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,230,250,-258.1,-248.0
JS9,-126.338,50.49288,Johnstone Stait,Johnstone Strait,,North Johnstone Strait,Oceanography,365,361,-368.6,-371.6
JSPP,-126.63522,50.53764,Johnstone Strait,Johnstone Strait,,North Johnstone Strait,Oceanography,,57,0.0,-50.7
KC1,-128.1289,51.6545,Kwakshua Channel,Kwakshua,,Central Coast,Oceanography,8,6,-4.0,
KC10,-127.9516,51.6505,Fitz Hugh Sound,Kwakshua,,Central Coast,Oceanography,345,288,-357.8,-353.3
KC10 BUOY,-127.9673342,51.6497607,,,Proposed location as of October 2017,,Oceanography Sensors,283.4,258,-283.6,-284.0
KC11,-128.0253,51.6507,Kwakshua Channel,SOMS,,Central Coast,Oceanography,78,83,-95.3,
KC12,-128.07,51.6504,Kwakshua Channel,SOMS,,Central Coast,Oceanography,22,51,0.0,
KC13,-128.1199,51.6472,Kwakshua Channel,SOMS,,Central Coast,Oceanography,9,7,-4.3,0.0
KC14,-127.9961,51.6487,Kwakshua Channel,SOMS,,Central Coast,Oceanography,44,33,0.0,
KC15,-128.0034,51.6569,Kwakshua Channel,SOMS,,Central Coast,Oceanography,28,49,0.0,-41.6
KC16,-128.0419,51.6563,Kwakshua Channel,SOMS,,Central Coast,Oceanography,35,65,-40.2,-25.7
KC17,-128.10295,51.65215,Kwakshua Channel,Primary Production,,Central Coast,Oceanography,,38,-38.2,-34.0
KC4,-128.1149,51.6545,Kwakshua Channel,Kwakshua,,Central Coast,Oceanography,25,22,-22.3,-21.1
KC7,-128.0464,51.6535,Kwakshua Channel,Kwakshua,,Central Coast,Oceanography,168,146,-168.6,
KC8,-128.0017,51.6517,Kwakshua Channel,Kwakshua,,Central Coast,Oceanography,212,148,-225.3,-224.8
KELP08,-128.155367,51.649467,Second,Nearshore,,Central Coast,Oceanography,,10,0.0,-8.4
KELP09,-128.14035,51.667117,North Beach,Nearshore,,Central Coast,Oceanography,,9,-3.1,-10.4
KELP10,-128.1999243,51.80123044,Manley,Nearshore,,Central Coast,Oceanography,,43,0.0,
KFPC01,-128.4319,51.900217,South Tip of Gosling Island,Outer Shores,,Central Coast,Oceanography,25,37,0.0,-25.2
KFPC04,-128.258567,51.806317,Queens Sound,Outer Shores,,Central Coast,Oceanography,20,34,0.0,-6.0
KFPC06,-128.233617,51.811267,Lyte Group,Outer Shores,,Central Coast,Oceanography,20,33,0.0,-1.0
KFPN03,-128.399067,52.045,Golby Passage,Outer Shores,,Central Coast,Oceanography,20,12,0.0,-9.4
KFPN07,-128.261,51.961,Queens Sound,Outer Shores,,Central Coast,Oceanography,16,50,-16.8,-19.0
KFPS01,-128.143,51.682,"Starfish Island, off west side",Queen Charlotte Sound,,Central Coast,Oceanography,125,138,-129.6,-142.0
KFPS04,-128.1171,51.6796,Choked Pass,"Queen Charlotte Sound, Ver. 2",,Central Coast,Oceanography,13,9,-11.2,-0.3
KFPS05,-128.113,51.685,,Queen Charlotte Sound,,Central Coast,Oceanography,29,17,-29.0,-0.2
KFPS06,-128.1136,51.6944,,"Queen Charlotte Sound, Ver. 2",,Central Coast,Oceanography,84,58,-84.8,-92.2
KFPS07,-128.1136,51.6944,,"Queen Charlotte Sound, Ver. 2",,Central Coast,Oceanography,84,59,-84.8,-92.2
KFPS08,-128.1243,51.6803,,"Queen Charlotte Sound, Ver. 2",,Central Coast,Oceanography,14,13,-12.8,-8.0
KIL03,-128.1542,51.8694,Entrance to Goodlad Bay,North Herring,,Central Coast,Oceanography,65,56,-80.6,-49.9
KIL07,-128.129,51.8409,Watt Bay,North Herring,,Central Coast,Oceanography,100,106,0.0,-100.0
Kildidt Sound,-128.079,51.718,Hakai Pass,Koeye,,Central Coast,Oceanography,300,302,-302.4,-301.9
KME03,-127.8784,51.7044,?,South Herring,,Central Coast,Oceanography,17,10,0.0,0.0
KN1,-126.4217,50.635,,Achiever 2019,,,Oceanography,,257,-252.9,-256.2
KN10,-125.5583,50.9767,,Achiever 2019,,,Oceanography,,384,-330.0,-334.7
KN11,-125.5667,51.0417,,Achiever 2019,,,Oceanography,,1,0.0,-216.3
KN2,-126.1833,50.655,,Achiever 2019,,,Oceanography,,188,-179.3,-183.0
KN3,-126.0667,50.67,,Achiever 2019,,,Oceanography,,183,0.0,-175.0
KN4,-125.9367,50.6817,,Achiever 2019,,,Oceanography,,367,-438.1,-439.4
KN5,-125.7833,50.6933,,Achiever 2019,,,Oceanography,,420,-394.1,-396.2
KN6,-125.685,50.755,,Achiever 2019,,,Oceanography,,523,-517.5,-520.8
KN7,-125.6217,50.8017,,Achiever 2019,,,Oceanography,,519,-513.6,-516.0
KN8,-125.645,50.8717,,Achiever 2019,,,Oceanography,,500,-486.6,-490.4
KN9,-125.5467,50.905,,Achiever 2019,,,Oceanography,,423,-410.5,-415.8
KWY01,-127.8801,51.7747,Koeye River,Koeye,,Central Coast,Oceanography,12,24,0.0,-19.6
KWY02,-127.8904,51.7724,Fitz Hugh Sound,Koeye,,Central Coast,Oceanography,218,253,-218.4,-217.1
KWY03,-127.9144,51.7663,Fitz Hugh Sound,Koeye,,Central Coast,Oceanography,405,366,-367.8,-369.0
LD1,-124.8216667,49.99666612,Lund,,"Pacific Salmon Foundation's Citizen Science Program oCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,189,-116.5,-124.0
LD2,-124.8566667,49.96333322,Lund,,"Pacific Salmon Foundation's Citizen Science Program oCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,151,-159.8,-165.1
LD3,-124.8816667,50.01999979,Lund,,"Pacific Salmon Foundation's Citizen Science Program oCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,281,-268.5,-270.5
LE01,-126.0158,49.11708333,offshore,CEDAR COAST,,Clayoquot,Oceanography,0,51,0.0,-50.1
LE02,-126.0674167,49.07271667,offshore japan,CEDAR COAST,,Clayoquot,Oceanography,0,55,0.0,-54.7
MACRO1,-128.2545,51.8035,"Triquet Island, north west side",Macro Survey,,Central Coast,Oceanography,8,29,0.0,0.0
MACRO10,-128.1518265,51.64910754,West Beach,Nearshore,,Central Coast,Oceanography,,9,0.0,-9.7
MACRO11,-128.200317,51.802333,Womanley,Nearshore,,Central Coast,Oceanography,,43,0.0,
MACRO2,-128.0955,51.6645,Meay Channel,Macro Survey,,Central Coast,Oceanography,8,42,0.0,-9.1
MACRO3,-128.2654,51.8414,"Spider Island, south west side",Macro Survey,,Central Coast,Oceanography,8,30,0.0,
MACRO4,-128.2126,51.903,Golden Islands,Macro Survey,,Central Coast,Oceanography,8,48,0.0,-37.7
MACRO5,-128.262,51.959,Simmonds Group,Macro Survey,,Central Coast,Oceanography,8,50,0.0,-14.7
MACRO6,-128.3646,52.0836,Stryker Group,Macro Survey,,Central Coast,Oceanography,8,20,-4.1,0.0
MACRO7,-128.3685,52.1497,Thompson Bay,Macro Survey,,Central Coast,Oceanography,8,45,0.0,0.0
MACRO8,-128.4037,52.0579,McMullins Group,Macro Survey,,Central Coast,Oceanography,8,18,0.0,-7.0
MACRO9,-128.4599,51.9204,South end of Goose Island,Macro Survey,,Central Coast,Oceanography,8,1,0.0,-5.0
Manley Pt.,-128.1996,51.80103,,MarineGEO,,Central Coast,MarineGEO,,43,0.0,
MC1,-126.0435,49.28973333,Millar Channel,CEDAR COAST,,Clayoquot,Oceanography,0,31,-33.9,-31.2
MEA01,-128.0912,51.6626,Meay Channel,Kwakshua,,Central Coast,Oceanography,40,48,0.0,-26.8
MEA02,-128.0876,51.6754,Meay Channel,Kwakshua,,Central Coast,Oceanography,54,49,0.0,-43.7
MEA03,-128.0873,51.6847,Meay Channel,Kwakshua,,Central Coast,Oceanography,55,49,0.0,-33.1
MEA04,-128.0693,51.6928,Meay Channel,SOMS,,Central Coast,Oceanography,8,52,0.0,0.0
MEA05,-128.0688,51.69093333,Meay Channel,SOMS,Discontinued,Central Coast,Oceanography,8,,0.0,
MEAY KK,-128.0954,51.6645,,,,Central Coast,Oceanography,,42,0.0,-15.8
MG1,-128.41,52.07,,MarineGEO,,Central Coast,MarineGEO,,12,0.0,-18.0
MG2,-128.3,52.02,,MarineGEO,,Central Coast,MarineGEO,,49,-34.1,-36.4
MG3,-128,51.73,,MarineGEO,,Central Coast,MarineGEO,,50,0.0,
MG4,-128.07,51.74,,MarineGEO,,Central Coast,MarineGEO,,60,-53.9,-56.1
NAVik,-124.71778,49.7011111,Strait of Georgia,,Proposed North Ajax buoy,,Oceanography Sensors,,291,-286.8,-290.6
NBCH01,-128.1433,51.6678,North East of Surf Island,"Queen Charlotte Sound, Ver. 2",,Central Coast,Oceanography,15,9,-11.8,-5.0
NLU02,-128.0509,51.8161,Nalau Passage,North Herring,,Central Coast,Oceanography,59,50,0.0,-51.9
NLU03,-128.0512,51.7937,Nalau Passage,North Herring,,Central Coast,Oceanography,55,99,-53.4,-95.2
NMU01,-127.883,51.8365,Warrior Cove,North Herring,,Central Coast,Oceanography,80,49,0.0,-33.9
NMU03,-127.8627,51.8672,Namu Harbour,North Herring,,Central Coast,Oceanography,18,10,0.0,0.0
NMU04,-127.8629,51.8842,Harlequin Basin,North Herring,,Central Coast,Oceanography,42,39,0.0,-16.5
NP,-128.1222,51.6769,Choked Pass,,,Central Coast,Oceanography,,6,-0.9,-2.9
PR6,-125.0266667,49.86,Powell River,,"Pacific Salmon Foundation's Citizen Science Program oCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,107,-124.4,-129.9
